metric_label,metric_axis,metric_stat,outcome_label,section_label,part,subtype,group,title,comparison,n,pearson_r,slope,metric_mean,outcome_mean,long_mean,short_mean,p_value,significance
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 3,title-form,Long,Abbott Elementary,,22.0,-0.06314201527329949,,,,,,0.7801273335741863,
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 3,title-form,Long,Mad Max,,23.0,-0.580415755330801,,,,,,0.003688836064864229,*
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 3,title-form,Long,The Town,,23.0,0.1991655003724982,,,,,,0.3622570231199872,
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 3,title-form,Short,Abbott Elementary,,30.0,0.12901005200865148,,,,,,0.49685923163424117,
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 3,title-form,Short,Mad Max,,21.0,0.21001295736542364,,,,,,0.36086498497703035,
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 3,title-form,Short,The Town,,18.0,-0.22211699286259162,,,,,,0.37569873294029643,
ET Blink Rate,ET Blink Rate,RATE,Open-Ended Recall (Key-Moment),ET Blink Rate Ã— Recall,Part 1,overall,All,,,135.0,0.06254758438748555,,114.74719632227406,55.13333333333333,50.89705882352941,59.43283582089552,0.47110307030033155,
ET Blink Rate,ET Blink Rate,RATE,Open-Ended Recall (Key-Moment),ET Blink Rate Ã— Recall,Part 2,format-correlation,Long,,,68.0,0.11276215459925695,,123.74405446830885,50.89705882352941,,,0.35990522411822734,
ET Blink Rate,ET Blink Rate,RATE,Open-Ended Recall (Key-Moment),ET Blink Rate Ã— Recall,Part 2,format-correlation,Short,,,67.0,0.028817158774897336,,105.61605671137313,59.43283582089552,,,0.8169359686686881,
ET Blink Rate,ET Blink Rate,RATE,Open-Ended Recall (Key-Moment),ET Blink Rate Ã— Recall,Part 2,interaction,Long vs Short,,,,,,,,,,0.7657085330366844,
